Threads,Raw_Time,Smoothed_Time
494,0.017,0.0178572
495,0.017,0.0178572
496,0.0180001,0.0177619
497,0.017,0.0178572
498,0.02,0.0177143
499,0.0190001,0.0178572
500,0.017,0.0178572
501,0.0209999,0.0178095
502,0.0190001,0.0179524
503,0.017,0.018
504,0.016,0.0178572
505,0.017,0.0178095
506,0.017,0.0178095
507,0.0179999,0.0178571
508,0.016,0.0178095
509,0.0210001,0.0177619
510,0.017,0.0178095
511,0.017,0.0178095
512,0.0220001,0.0176191
513,0.017,0.0174762
514,0.0150001,0.0174286
515,0.0159998,0.0174762
516,0.0170002,0.0174286
517,0.0189998,0.0175238
518,0.016,0.0174286
519,0.0190001,0.0174762
520,0.02,0.017381
521,0.017,0.0176191
522,0.017,0.0175714
523,0.016,0.0175238
524,0.016,0.0174762
525,0.017,0.0175714
526,0.016,0.0176191
527,0.0190001,0.0176667
528,0.016,0.0176191
529,0.017,0.0176667
530,0.0190001,0.0177619
531,0.0220001,0.0176667
532,0.016,0.0177143
533,0.0209999,0.0177619
534,0.016,0.0177619
535,0.017,0.0178095
536,0.017,0.0178095
537,0.0180001,0.0179048
538,0.0179999,0.0178095
539,0.017,0.0179524
540,0.0210001,0.0180952
541,0.0179999,0.018
542,0.0180001,0.0179524
543,0.0179999,0.0181429
544,0.016,0.0179524
545,0.017,0.0179524
546,0.017,0.0180476
547,0.0179999,0.018
548,0.017,0.0180476
549,0.0190001,0.018
550,0.02,0.0180476
551,0.0170002,0.0179524
552,0.0209999,0.0180953
553,0.02,0.0180476
554,0.017,0.0179524
555,0.016,0.018
556,0.0190001,0.0180953
557,0.016,0.0181429
558,0.0190001,0.0181429
559,0.017,0.0182381
560,0.0179999,0.0181429
561,0.0190001,0.0180953
562,0.0210001,0.0181429
563,0.0170002,0.0179524
564,0.016,0.0178572
565,0.017,0.0179524
566,0.0190001,0.0179048
567,0.0179999,0.018
568,0.0180001,0.0179524
569,0.0190001,0.0178096
570,0.017,0.0177619
571,0.0190001,0.0177143
572,0.0180001,0.0175715
573,0.017,0.0174762
574,0.0179999,0.017381
575,0.0190001,0.0175715
576,0.0150001,0.0176667
577,0.0209999,0.0177143
578,0.0150001,0.0179048
579,0.016,0.0178572
580,0.016,0.0177143
581,0.017,0.0177143
582,0.016,0.0177143
583,0.0190001,0.0177143
584,0.0150001,0.0177619
585,0.02,0.0177143
586,0.0190001,0.0178095
587,0.02,0.0179048
588,0.0219998,0.0176667
589,0.017,0.0177619
590,0.016,0.0179048
591,0.017,0.0179048
592,0.0190001,0.018
593,0.0179999,0.018
594,0.0180001,0.018
595,0.017,0.0180476
596,0.0210001,0.0179048
597,0.017,0.0177619
598,0.016,0.017619
599,0.017,0.0174286
600,0.0189998,0.0175238
601,0.016,0.0177143
602,0.0190001,0.0176191
603,0.016,0.0176191
604,0.0190001,0.0176667
605,0.016,0.0176667
606,0.017,0.0176667
607,0.016,0.0174286
608,0.017,0.0175238
609,0.0180001,0.0177143
610,0.0190001,0.0177143
611,0.02,0.0177143
612,0.0149999,0.0179048
613,0.0190001,0.0177143
614,0.0190001,0.0178095
615,0.0179999,0.0177143
616,0.017,0.0177619
617,0.016,0.0177619
618,0.0190001,0.0178572
619,0.02,0.0178572
620,0.017,0.0179048
621,0.0190001,0.0177143
622,0.02,0.0176667
623,0.0149999,0.0178571
624,0.0180001,0.0178095
625,0.017,0.0178095
626,0.017,0.0178095
627,0.017,0.0178095
628,0.0179999,0.0181905
629,0.017,0.018
630,0.0190001,0.0179524
631,0.0149999,0.0180953
632,0.0190001,0.018
633,0.0189998,0.0179524
634,0.0180001,0.0180476
635,0.0190001,0.0181905
636,0.0179999,0.018381
637,0.0170002,0.0183333
638,0.0239999,0.0186191
639,0.0150001,0.0185238
640,0.0190001,0.0186191
641,0.02,0.0186191
642,0.017,0.019
643,0.0190001,0.0188572
644,0.017,0.0189524
645,0.0210001,0.0188572
646,0.0209999,0.0188572
647,0.016,0.0189048
648,0.023,0.0190952
649,0.0159998,0.019
650,0.0190001,0.0191905
651,0.0190001,0.0191429
652,0.023,0.0190476
653,0.016,0.0192381
654,0.0209999,0.0190952
655,0.016,0.0191429
656,0.0190001,0.019
657,0.0190001,0.0187619
658,0.0209999,0.0189048
659,0.0220001,0.0187143
660,0.0190001,0.0188572
661,0.0180001,0.0191429
662,0.0179999,0.019
663,0.0209999,0.0189524
664,0.016,0.0190476
665,0.0180001,0.0188095
666,0.0179999,0.0190952
667,0.016,0.0190952
668,0.0190001,0.0189524
669,0.0189998,0.0189524
670,0.0190001,0.0189524
671,0.0250001,0.0189047
672,0.016,0.0189524
673,0.0219998,0.0189524
674,0.0180001,0.0188571
675,0.016,0.0189524
676,0.0219998,0.0190952
677,0.0190001,0.0192381
678,0.016,0.0192857
679,0.0209999,0.0193333
680,0.0220001,0.0190952
681,0.0179999,0.0193333
682,0.0189998,0.0190476
683,0.0180001,0.0191905
684,0.0190001,0.0190476
685,0.0179999,0.0191428
686,0.0209999,0.0193333
687,0.0210001,0.0191429
688,0.017,0.0191428
689,0.02,0.0193809
690,0.0139999,0.0192381
691,0.0239999,0.0189524
692,0.0190001,0.0191905
693,0.0190001,0.0190476
694,0.0190001,0.0190952
695,0.02,0.0191429
696,0.02,0.0190476
697,0.0180001,0.0189048
698,0.0189998,0.0187143
699,0.0210001,0.0189048
700,0.0179999,0.019
701,0.016,0.0191429
702,0.023,0.0188571
703,0.016,0.0187619
704,0.0190001,0.0187619
705,0.02,0.019
706,0.016,0.0188095
707,0.0179999,0.0188571
708,0.017,0.0187619
709,0.0210001,0.0187143
710,0.0219998,0.0186667
711,0.017,0.0189524
712,0.0179999,0.0190952
713,0.0170002,0.0188095
714,0.0189998,0.0189524
715,0.0240002,0.0190952
716,0.016,0.0188571
717,0.0209999,0.0192381
718,0.016,0.0192857
719,0.0180001,0.0192857
720,0.02,0.0192857
721,0.0239999,0.0192381
722,0.0190001,0.0191905
723,0.017,0.0192381
724,0.0190001,0.0192381
725,0.0220001,0.0193334
726,0.0149999,0.019
727,0.0240002,0.0191905
728,0.0190001,0.019
729,0.017,0.0192381
730,0.0209999,0.0194762
731,0.0210001,0.0192857
732,0.016,0.0189048
733,0.0190001,0.0189048
734,0.017,0.0191905
735,0.0210001,0.0191905
736,0.017,0.0190477
737,0.02,0.0190953
738,0.0170002,0.0190953
739,0.0209999,0.019
740,0.023,0.0193334
741,0.016,0.0191429
742,0.016,0.0190477
743,0.0190001,0.0191905
744,0.023,0.0193334
745,0.0190001,0.0205238
746,0.0190001,0.0209048
747,0.016,0.0212381
748,0.0240002,0.0210953
749,0.017,0.0214286
750,0.0239999,0.0213333
751,0.017,0.0210476
752,0.0190001,0.021381
753,0.0189998,0.0215238
754,0.0220001,0.0214286
755,0.0420001,0.0212381
756,0.029,0.0211429
757,0.0239999,0.0211429
758,0.017,0.0213333
759,0.0239999,0.0209524
760,0.0189998,0.0211905
761,0.0170002,0.0208572
762,0.023,0.021
763,0.0189998,0.0210476
764,0.0170002,0.0209048
765,0.0190001,0.0207619
766,0.017,0.0197143
767,0.0190001,0.0190476
768,0.02,0.0189048
769,0.016,0.0191429
770,0.0220001,0.0187143
771,0.017,0.0186667
772,0.0200002,0.0186667
773,0.02,0.0185715
774,0.016,0.0185715
775,0.0190001,0.0188096
776,0.02,0.0188572
777,0.0149999,0.0188096
778,0.0210001,0.0188572
779,0.0219998,0.0189524
780,0.0150001,0.0191429
781,0.0180001,0.0190476
782,0.017,0.019
783,0.0209999,0.019
784,0.0190001,0.0190476
785,0.0220001,0.0192381
786,0.02,0.0192857
787,0.016,0.0192857
788,0.02,0.0196667
789,0.0219998,0.0194286
790,0.02,0.0192857
791,0.02,0.019381
792,0.016,0.0193333
793,0.02,0.0197143
794,0.0209999,0.0195714
795,0.02,0.0196667
796,0.02,0.0196667
797,0.02,0.0197143
798,0.023,0.0198571
799,0.016,0.0197619
800,0.0190001,0.0196667
801,0.017,0.0198095
802,0.017,0.0198095
803,0.0250001,0.0199524
804,0.0179999,0.0199524
805,0.0210001,0.0200476
806,0.0219998,0.0200476
807,0.0210001,0.0199524
808,0.0189998,0.0198095
809,0.0180001,0.0196191
810,0.02,0.0197143
811,0.023,0.0195714
812,0.02,0.0198571
813,0.0190001,0.0198095
814,0.02,0.0198095
815,0.023,0.0198572
816,0.02,0.0198571
817,0.0180001,0.0196191
818,0.017,0.019381
819,0.0190001,0.0194762
820,0.0179999,0.0196191
821,0.016,0.0195714
822,0.023,0.019381
823,0.016,0.0191905
824,0.0250001,0.0191905
825,0.0190001,0.0193333
826,0.0209999,0.019
827,0.017,0.0191429
828,0.016,0.0191429
829,0.0209999,0.0191429
830,0.0210001,0.0191429
