Threads,Time_Seconds
424,0.0309999
425,0.033
426,0.03
427,0.02
428,0.02
429,0.03
430,0.0280001
431,0.0250001
432,0.027
433,0.023
434,0.0250001
435,0.029
436,0.03
437,0.0270002
438,0.03
439,0.0249999
440,0.029
441,0.0250001
442,0.0239999
443,0.0240002
444,0.027
445,0.0239999
446,0.0239999
447,0.0250001
448,0.023
449,0.029
450,0.03
451,0.0279999
452,0.02
453,0.029
454,0.026
455,0.026
456,0.0220001
457,0.0220001
458,0.0250001
459,0.023
460,0.027
461,0.023
462,0.027
463,0.0309999
464,0.0310001
465,0.027
466,0.0209999
467,0.026
468,0.026
469,0.0239999
470,0.02
471,0.026
472,0.0209999
473,0.023
474,0.023
475,0.0320001
476,0.03
477,0.0309999
478,0.0190001
479,0.027
480,0.02
481,0.0270002
482,0.0220001
483,0.023
484,0.0220001
485,0.026
486,0.027
487,0.03
488,0.027
489,0.0240002
490,0.023
491,0.02
492,0.026
493,0.0200002
494,0.023
495,0.02
496,0.027
497,0.0310001
498,0.0280001
499,0.0339999
500,0.0239999
501,0.0220001
502,0.0250001
503,0.0409999
504,0.0339999
505,0.0320001
506,0.0289998
507,0.033
508,0.0250001
509,0.0249999
510,0.02
511,0.029
512,0.023
513,0.0249999
514,0.0210001
515,0.029
516,0.023
517,0.027
518,0.027
519,0.029
520,0.029
521,0.023
522,0.027
523,0.023
524,0.023
525,0.023
526,0.0220001
527,0.0279999
528,0.029
529,0.0220001
530,0.0239999
531,0.0280001
532,0.0289998
533,0.0219998
534,0.0280001
535,0.026
536,0.0239999
537,0.026
538,0.0280001
539,0.0240002
540,0.03
541,0.027
542,0.029
543,0.0219998
544,0.0220001
545,0.026
546,0.0239999
547,0.0310001
548,0.023
549,0.027
550,0.0270002
551,0.0309999
552,0.0280001
553,0.0239999
554,0.026
555,0.0190001
556,0.03
557,0.023
558,0.027
559,0.0210001
560,0.0309999
561,0.0280001
562,0.0289998
563,0.027
564,0.0280001
565,0.02
566,0.03
567,0.0190001
568,0.0309999
569,0.023
570,0.0280001
571,0.026
572,0.0220001
573,0.026
574,0.0309999
575,0.0310001
576,0.0279999
577,0.0239999
578,0.0280001
579,0.0239999
580,0.026
581,0.03
582,0.0239999
583,0.027
584,0.026
585,0.0219998
586,0.027
587,0.0300002
588,0.0209999
589,0.023
590,0.0239999
591,0.026
592,0.0320001
593,0.0319998
594,0.026
595,0.0190001
596,0.0320001
597,0.0279999
598,0.0250001
599,0.029
600,0.023
601,0.027
602,0.033
603,0.027
604,0.0250001
605,0.03
606,0.029
607,0.0279999
608,0.0209999
609,0.0239999
610,0.027
611,0.023
612,0.029
613,0.027
614,0.0309999
615,0.0350001
616,0.0270002
617,0.0250001
618,0.0220001
619,0.0309999
620,0.027
621,0.02
622,0.03
623,0.023
624,0.026
625,0.0289998
626,0.0350001
627,0.027
628,0.0239999
629,0.027
630,0.026
631,0.0240002
632,0.0309999
633,0.0209999
634,0.029
635,0.0339999
636,0.0320001
637,0.0320001
638,0.0220001
639,0.03
640,0.026
641,0.02
642,0.03
643,0.0239999
644,0.023
645,0.026
646,0.0259998
647,0.026
648,0.03
649,0.033
650,0.0280001
651,0.023
652,0.027
653,0.0209999
654,0.029
655,0.029
656,0.0239999
657,0.0320001
658,0.0270002
659,0.0250001
660,0.026
661,0.0279999
662,0.0270002
663,0.0279999
664,0.023
665,0.0280001
666,0.036
667,0.0309999
668,0.03
669,0.0220001
670,0.029
671,0.0309999
672,0.027
673,0.027
674,0.0239999
675,0.0270002
676,0.027
677,0.027
678,0.023
679,0.03
680,0.0209999
681,0.03
682,0.0310001
683,0.027
684,0.02
685,0.0319998
686,0.0280001
687,0.0220001
688,0.023
689,0.0309999
690,0.0239999
691,0.0339999
692,0.0239999
693,0.0340002
694,0.0300002
695,0.0319998
696,0.0320001
697,0.0280001
698,0.023
699,0.023
700,0.029
701,0.02
702,0.03
703,0.0320001
704,0.026
705,0.0279999
706,0.03
707,0.0280001
708,0.027
709,0.03
710,0.0250001
711,0.033
712,0.029
713,0.027
714,0.0250001
715,0.0239999
716,0.033
717,0.0270002
718,0.023
719,0.0239999
720,0.027
721,0.0250001
722,0.0309999
723,0.03
724,0.029
725,0.05
726,0.0350001
727,0.0340002
728,0.03
729,0.0249999
730,0.0280001
731,0.0249999
732,0.029
733,0.0250001
734,0.023
735,0.0300002
736,0.0209999
737,0.0220001
738,0.0320001
739,0.027
740,0.0209999
741,0.0320001
742,0.0280001
743,0.026
744,0.023
745,0.0300002
746,0.0210001
747,0.03
748,0.03
749,0.0219998
750,0.0300002
751,0.0309999
752,0.0239999
753,0.02
754,0.033
755,0.0280001
756,0.02
757,0.029
758,0.0249999
759,0.0239999
760,0.029
761,0.03
762,0.0239999
763,0.0239999
764,0.0300002
765,0.0219998
766,0.026
767,0.0249999
768,0.0250001
769,0.0239999
770,0.0309999
771,0.026
772,0.0210001
773,0.0320001
774,0.0309999
775,0.02
776,0.0279999
777,0.0250001
778,0.0239999
779,0.0239999
780,0.03
781,0.026
782,0.03
783,0.03
784,0.023
785,0.0310001
786,0.0289998
787,0.0280001
788,0.026
789,0.0309999
790,0.0280001
791,0.023
792,0.0309999
793,0.0310001
794,0.026
795,0.0220001
796,0.0320001
797,0.026
798,0.029
799,0.0249999
800,0.027
801,0.0310001
802,0.033
803,0.029
804,0.027
805,0.029
806,0.033
807,0.0250001
808,0.033
809,0.03
810,0.0210001
811,0.0309999
812,0.0320001
813,0.03
814,0.0219998
815,0.0310001
816,0.033
817,0.026
818,0.023
819,0.0310001
820,0.0319998
821,0.0310001
822,0.0309999
823,0.0349998
824,0.0319998
825,0.0309999
826,0.0339999
827,0.0350001
828,0.027
829,0.0439999
830,0.036
831,0.0320001
832,0.0320001
833,0.0319998
834,0.0350001
835,0.0339999
836,0.036
837,0.039
838,0.0410001
839,0.033
840,0.0289998
841,0.0289998
842,0.033
843,0.033
844,0.0380001
845,0.0410001
846,0.0320001
847,0.0420001
848,0.049
849,0.0409999
850,0.049
851,0.0439999
852,0.0800002
853,0.0350001
854,0.0279999
855,0.03
856,0.0309999
857,0.0320001
858,0.0469999
859,0.036
860,0.0280001
861,0.039
862,0.0349998
863,0.03
864,0.0340002
865,0.0280001
866,0.039
867,0.033
868,0.043
869,0.033
870,0.026
871,0.0319998
872,0.03
873,0.0320001
874,0.033
875,0.0339999
876,0.0350001
877,0.0309999
878,0.04
879,0.043
880,0.029
881,0.0280001
882,0.0309999
883,0.0369999
884,0.033
885,0.033
886,0.033
887,0.0380001
888,0.0319998
889,0.0340002
890,0.026
891,0.0249999
892,0.03
893,0.0309999
894,0.0270002
895,0.0359998
896,0.029
897,0.033
898,0.0350001
899,0.0380001
900,0.0339999
901,0.033
902,0.0240002
903,0.0250001
904,0.0239999
905,0.03
906,0.0340002
907,0.0279999
908,0.029
909,0.0339999
910,0.0340002
911,0.0319998
912,0.0300002
913,0.0289998
914,0.03
915,0.026
916,0.0219998
917,0.0330002
918,0.0309999
919,0.0309999
920,0.027
921,0.0270002
922,0.0379999
923,0.033
924,0.03
925,0.0250001
926,0.023
927,0.0320001
928,0.0309999
929,0.0309999
930,0.0250001
931,0.0289998
932,0.0310001
933,0.03
934,0.0309999
935,0.0309999
936,0.0350001
937,0.03
938,0.03
939,0.026
940,0.0279999
941,0.0310001
942,0.033
943,0.03
944,0.027
945,0.0279999
946,0.029
947,0.0340002
948,0.0319998
949,0.033
950,0.03
951,0.026
952,0.0270002
953,0.0249999
954,0.0240002
955,0.0309999
956,0.0279999
957,0.0270002
958,0.023
959,0.0340002
960,0.0319998
961,0.0339999
962,0.033
963,0.033
964,0.0239999
965,0.023
966,0.0310001
967,0.033
968,0.027
969,0.0279999
970,0.0279999
971,0.03
972,0.0340002
973,0.0389998
974,0.0310001
975,0.026
976,0.0309999
977,0.033
978,0.027
979,0.0309999
980,0.0250001
981,0.0339999
982,0.033
983,0.036
984,0.0280001
985,0.0319998
986,0.0350001
987,0.023
988,0.0239999
989,0.023
990,0.0340002
991,0.0309999
992,0.0279999
993,0.0250001
994,0.03
995,0.029
996,0.036
997,0.0249999
998,0.0320001
999,0.033
1000,0.026
